Issue id,Issue Type,Status,Priority,Changelog Count,Comments Count,Watch Count,Date Created,Days to date
6be6bcf29fde7775529ff9a9c0809ea0d0896ac401978767c9f3c043d9dc236b,Bug,Development Backlog,Minor,8,10,6,2019-03-18 07:45:34.705000000,296
f7f2e5f69851793d3484300ac25325890d1302f22f338488138f3985fcce2c1b,Internal Improvement,Code review,Major,95,14,5,2018-01-22 11:08:16.492000000,716
2d2090308646030307069415448e8fcdef3aafd70e9c961f47ef92250dfbe2f1,New Feature or Improvement,Needs QA fixes,Minor,84,13,5,2018-08-05 12:41:51.816000000,521
c396250167938f9c700e1a4ec15af5ebaece11033041457b69246fe83b869fa8,New Feature or Improvement,Code review,Major,80,29,5,2018-09-09 07:50:45.260000000,486
4a458c44506a8b90e35877e834f824250e33a24068f8e1c69fbd9b3953f4ad32,Internal Improvement,Testing On Hold,Major,67,7,5,2019-06-03 03:25:02.682000000,219
81a2c7bd0afdd21fdf7f371dd71d89a9ec7083a51e6501b74143686aba4001d5,New Feature or Improvement,Needs CR fixes,Major,63,1,5,2019-08-15 14:54:08.496000000,146
0eef33f659a09bb8cabdda81cb42420053653c7a1280185734c913a1fc6eb2b0,Epic,Work in Progress,Major,59,4,5,2017-09-27 01:20:17.941000000,833
18786454b4b934b93001bbecc989bfb61066fdc1d65bae077bc168d5094e832b,Internal Improvement,Testing On Hold,Major,58,15,5,2019-09-09 09:42:35.284000000,121
11bd472e2f1f7420c5fbda1476e0f6ea3b6245e9f00465e66fa14fa4a0573e63,Internal Improvement,CR On Hold,Minor,52,24,5,2018-09-18 01:35:01.846000000,477
45cbe101c55d0cd55eb6805d88e1e8406e7c4c089058ec98076da17f3d04618d,New Feature or Improvement,CR On Hold,Minor,49,6,5,2018-08-23 05:53:28.296000000,503
fa41fe9c0d2e0d8083f9bbd324d98a01d7a3abc8d1cbc609664d1301ae2f2d78,New Feature or Improvement,Development On Hold,Major,40,18,5,2018-10-31 19:37:08.271000000,434
f51b1887660502abcfeef89b260c62d159227c33953c46bee69aa4298cfdfa1a,Internal Improvement,Testing On Hold,Minor,38,17,5,2018-12-03 06:06:31.297000000,401
b27fe22f5158d7a48e3d87c0bd7a88cd635ff47b812711f4e585530cb9599434,New Feature or Improvement,Development,Major,37,5,5,2019-09-18 09:59:48.061000000,112
b82687aa18af3455a87967925edb16b4634d1a1389051690ecca5a94cad96dde,Bug,Development Backlog,Trivial,36,14,5,2017-11-29 11:33:01.270000000,770
66f98e54d53eaa90ca38976f62b053d7060b20913a1692abada38f06d87bc7b4,Internal Improvement,Development On Hold,Minor,36,11,5,2018-07-10 10:13:33.169000000,547
fb17901f773fb3b15631f3a3c103efee48b3591c362e91e8171e8cac6d64559f,Internal Improvement,In Backlog,Minor,34,8,5,2018-02-21 19:58:11.742000000,686
7e4a6726dc1b98cdad5bd169bc65539f964a44faa16dc62bd766eba1c59fc034,Epic,Cancelled,Minor,34,4,5,2019-02-12 08:37:30.214000000,330
55dbab74345b420a2b1b4de718b79e02619addaaa09120ea539d1b42741b5c32,New Feature or Improvement,Testing,Minor,33,10,5,2018-05-18 00:01:25.173000000,600
b6bcab70cc071ed208bb2a4b19fcd36956de7e70de2ef579db828b6c0a217eac,Bug,Development Backlog,Minor,33,9,5,2016-10-31 16:01:02.185000000,1164
8884cdc55496a1f62796ecb7fc9f1838752f284a0ed058635f8227ad279c8b7e,New Feature or Improvement,Needs QA fixes,Critical,30,8,5,2018-08-20 02:37:45.844000000,506
03a44f7789bf0c67bcd4e16b2636886a64c6615bd61faba0715b052c1c032671,Internal Improvement,Development,Major,26,20,5,2018-11-05 18:37:20.916000000,429
412f1bbf5a7378cc06895f50c7690891eb4765f06909edab7b0ce8ca6d1d8f2f,Epic,Work in Progress,Minor,26,3,5,2019-02-01 08:30:47.787000000,341
7620eca2d29bb88db1c7d85e4ef627dd7481115f658341e0c5a27c6b3952bb19,Internal Improvement,Development On Hold,Minor,24,14,5,2018-07-30 08:28:21.783000000,527
8e0f8fa55539dc98a2a31fc80ff520afd1e30bc075994a16153dd0b93778cf1c,Epic,Work in Progress,Major,21,8,5,2019-08-08 10:57:36.212000000,153
d3fab0885758b8980863ef17e153d4a7eae8eafa3cf17a9844b6e7a7d0b7b1a6,Epic,On Hold,Minor,20,7,5,2019-01-14 03:46:11.511000000,359
b1ff8559436e4815f03023b7ea873902979536d92fbdaaede22c0c294b2bda7c,Bug,Testing,Minor,20,7,5,2019-10-30 09:03:26.324000000,70
3dcac374c9a9769db724b5398a5ef1daa716366bc965a4e939a4dc289a421dbe,New Feature or Improvement,Development,Minor,20,4,5,2019-06-17 09:03:18.597000000,205
47f55b7a61da18ae0731be642426550b3ecfef146f8d6018e9c42c798f52170a,Bug,Development Backlog,Major,18,27,5,2017-08-16 08:37:16.951000000,875
8e15292dc48041a6f2ddbdb3ddb46c5c44cc1bc75fac755b2443a66e801f5171,Bug,Ready for dev,Minor,18,8,5,2019-02-07 10:52:20.964000000,335
848d172d3a3ac3cc14d0871f64c8a907c85c4cc07cebeaa4ff2633c5b98609a0,Internal Improvement,Ready for dev,Major,18,8,5,2018-08-29 15:09:50.416000000,497
871e40888ec640291c419cfc016eb7d140390ee656bd83d74d301d2dc12033fc,Epic,Cancelled,Minor,17,5,5,2018-05-01 15:18:57.930000000,617
5b0320c22ead4959b6639e4c96043fa7db2db3f407ea12d49d837ce6e7d18d72,Bug,Ready for dev,Major,17,4,5,2019-07-25 13:48:02.292000000,167
e3f541484ac91a529862bdf785eee25924e8df06faf4ae19875b4e94415115e4,Epic,Cancelled,Minor,17,2,5,2018-03-01 18:55:59.884000000,678
676ed113d1faa1ea0154f01a52cf6d6c7ca3c1e25a18d35837e3e7eefaa31000,New Feature or Improvement,In Backlog,Trivial,16,6,5,2018-07-13 10:30:20.364000000,544
5239195648d55b7fd0cc565e824f083c0a94ece378859d1e80b25641ffebaf87,New Feature or Improvement,Product review,Minor,16,5,5,2019-08-26 05:33:53.163000000,135
ba5d18d1f29159486543150ad95ade1d5fee90d24600d1c21f443cab94fb6de0,Bug,Pending Review,Minor,15,8,5,2018-03-08 03:49:47.566000000,671
ea34e41cf3fe4fafa747af521dc32b9ba52b75c76e20bf9f82f31a9347a988f3,Internal Improvement,Development,Major,15,2,5,2019-08-05 11:50:28.056000000,156
3983d290ee1ede274839d8ff00358a67b3b1c2ac8d3e14f8b9c560a080172c7b,Bug,Pending Review,Minor,14,6,5,2019-10-28 05:06:16.627000000,72
6aaf5440692f1970beca930881fdcc4646253db576335428fadf98efecc82615,New Feature or Improvement,In Backlog,Minor,13,3,5,2019-04-12 08:39:38.526000000,271
6aa5871d767d37228ef4080d55030dfac5ec97c18ee1f2314fcf11631ba36b8e,Bug,Development Backlog,Trivial,13,3,5,2018-10-16 13:55:27.864000000,449
3fc539febc2f1d6dd00d2dd522ef5e9dc290a517cd3e822d862b00a8412e7cb2,Internal Improvement,In Backlog,Minor,12,8,5,2016-02-29 23:44:44.437000000,1409
2472f32a9261a66bf966265ed3524aef0d52328e94953fbbdd32ba78084595af,Bug,Review,Major,12,5,5,2019-12-05 05:56:58.236000000,34
3bbe0ba9be11958b788a685d96870bf8d4836d43ef287c208f4cd6128e6f494e,Bug,Development Backlog,Minor,12,3,5,2018-03-26 04:34:39.740000000,653
d0df54036e94d3ee991a85d5f3b92b4b50660024c26845a89ff3d97b7a992da6,Bug,Review,Minor,11,12,5,2019-03-05 03:12:43.138000000,309
bab9ff7c09ddaca342c5ab381a767183c137fa403d147b1b977541808f27f975,Internal Improvement,Development Backlog,Trivial,11,10,5,2017-10-31 00:56:18.030000000,799
158af70902f984873c58a4d80415b9fbbb7b2f7c878304d7145fd490c566b761,Epic,Cancelled,Minor,11,7,5,2018-03-16 05:52:19.654000000,663
4930ac755f6e958b8f8dea90f3a19ad96e8e5b27bf461391fe3635ed652a4ed8,Bug,Development Backlog,Minor,11,7,5,2018-11-28 09:58:40.144000000,406
